# Constructed from biom file
#OTU ID	UR1_CF_26	UR1_CF_30	UR1_DP_26	UR1_DP_30	UR1_Feces_26	UR1_Feces_30	UR1_Feed	UR1_GUT_30	UR1_SWTR_26	UR1_SWTR_30	UR1A_GUT_26	UR2_CF_26	UR2_CF_30	UR2_DP_26	UR2_DP_30	UR2_Feces_26	UR2_Feces_30	UR2_Feed	UR2_GUT_30	UR2_SWTR_26	UR2_SWTR_30	UR2A_GUT_26	UR3_CF_26	UR3_CF_30	UR3_DP_26	UR3_DP_30	UR3_Feces_26	UR3_Feces_30	UR3_Feed	UR3_GUT_30	UR3_SWTR_26	UR3_SWTR_30	UR3A_GUT_26	UR4_CF_26	UR4_CF_30	UR4_Feces_26	UR4_Feces_30	UR4_GUT_30	UR4_SWTR_26	UR4_SWTR_30	UR4A_GUT_26	UR5_CF_26	UR5_CF_30	UR5_Feces_26	UR5_Feces_30	UR5_GUT_30	UR6_Feces_26
18c9ae37b8d2dc21dd64595dff430d1e	4791.0	2440.0	32585.0	14290.0	326.0	90.0	10.0	168241.0	209.0	77.0	98713.0	143899.0	17200.0	1825.0	1913.0	123.0	106.0	0.0	117410.0	293.0	153.0	130989.0	6844.0	4894.0	4947.0	20361.0	80.0	70.0	58.0	144828.0	640.0	287.0	594.0	17232.0	6626.0	77.0	199.0	105972.0	384.0	195.0	116774.0	1035.0	7203.0	93.0	110.0	145990.0	99084.0
2777973351d0af8a580aa888ae825eb5	89.0	891.0	352.0	9753.0	7065.0	995.0	0.0	108.0	129.0	68.0	37.0	68.0	6857.0	76204.0	3162.0	17188.0	1077.0	0.0	358.0	149.0	83.0	36.0	28447.0	0.0	78553.0	37103.0	660.0	476.0	29.0	81.0	104.0	0.0	184.0	9526.0	0.0	148.0	5005.0	0.0	70.0	28.0	3589.0	444.0	19489.0	1651.0	419.0	0.0	1101.0
68b9ce06fc98f29759c01b03263a5d67	0.0	16441.0	2031.0	48430.0	5363.0	378.0	369.0	383.0	81.0	121.0	28.0	0.0	1346.0	2360.0	9757.0	551.0	397.0	254.0	85.0	491.0	434.0	99.0	2250.0	213.0	1362.0	5565.0	3134.0	3882.0	0.0	0.0	288.0	0.0	355.0	8343.0	289.0	304.0	2860.0	12.0	761.0	0.0	117.0	656.0	7048.0	748.0	3638.0	0.0	326.0
94fe820f2ecbd7ef6200d63f00ac6191	21.0	2025.0	2564.0	26511.0	1060.0	628.0	0.0	215.0	52.0	19.0	18.0	522.0	2266.0	3607.0	4084.0	673.0	2753.0	0.0	47.0	0.0	95.0	26.0	2081.0	2192.0	209.0	15811.0	3081.0	4970.0	0.0	18.0	154.0	0.0	24875.0	215.0	103.0	1043.0	2004.0	20.0	160.0	0.0	38.0	290.0	15415.0	517.0	831.0	8.0	1619.0
e59febfff7311fc171d1e1cdb37099ef	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	72810.0	0.0	0.0	0.0	5578.0	0.0	0.0	0.0	0.0	0.0	2195.0	470.0	0.0	0.0	5395.0	0.0	0.0	0.0	0.0	699.0	0.0	0.0	11876.0	0.0	0.0	0.0	0.0	7844.0	0.0	0.0	20.0
05f0ff6343dd10ca861fa8fcfa04cf33	0.0	30303.0	1006.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6527.0	0.0	40677.0	0.0	0.0	0.0	141.0	0.0	0.0	0.0	0.0	0.0	0.0	2329.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	838.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	496.0	0.0	0.0
836be0e112c941cc135163482d78de44	0.0	0.0	0.0	48.0	0.0	75.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	125.0	0.0	0.0	61880.0	0.0	8.0	0.0	1534.0	0.0	201.0	0.0	0.0	426.0	0.0	0.0	30.0	0.0	0.0	3080.0	86.0	0.0	0.0	0.0	4945.0
fe9a49ae1054152be54c46a2b90b0d20	70.0	1234.0	55.0	8095.0	3737.0	228.0	0.0	62.0	95.0	0.0	0.0	34.0	4910.0	304.0	5508.0	3490.0	2614.0	0.0	27.0	261.0	96.0	0.0	270.0	0.0	291.0	9570.0	2086.0	7363.0	0.0	0.0	336.0	0.0	0.0	700.0	0.0	49.0	14846.0	0.0	46.0	0.0	0.0	364.0	801.0	692.0	3644.0	10.0	156.0
1c73e1dd8862b6fdbc044d6e0d9ecc26	164.0	4568.0	170.0	424.0	547.0	443.0	1673.0	0.0	28.0	42.0	0.0	57.0	550.0	349.0	372.0	1403.0	320.0	1328.0	22.0	59.0	135.0	0.0	101.0	33.0	207.0	1631.0	724.0	479.0	47654.0	11.0	63.0	0.0	1276.0	66.0	109.0	402.0	2108.0	0.0	26.0	0.0	0.0	37.0	210.0	311.0	3677.0	0.0	27.0
d049c312ab1e4ac32584fa45f910d24f	0.0	10837.0	4870.0	0.0	159.0	14.0	0.0	0.0	32.0	0.0	0.0	163.0	12657.0	2718.0	3423.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	14303.0	228.0	0.0	3202.0	0.0	0.0	0.0	13.0	0.0	0.0	8869.0	0.0	0.0	0.0	40.0	0.0	140.0	0.0	0.0	0.0	0.0	465.0	303.0	0.0	0.0
